Sample	Actual Collected ADD	Season1	Location	Sample Type	Collection	DaysCollectionADD	ADDCollectionDays	Days	ADD_Days	ADD	Season	Temp	SpCond	Sal	Orp	DO	pH	Dosat
HLS3C11CS	2784	Fall	Henley Lake	Scapula	Collection 11	310/Collection11/2784	2784/Collection11/310	310	2784/310	2784	3	13.77662659	88.00323232	0.040928256	-162.6180013	0	7.67729187	0
HLS4C11CS	2784	Fall	Henley Lake	Scapula	Collection 11	310/Collection11/2784	2784/Collection11/310	310	2784/310	2784	3	13.77662659	88.00323232	0.040928256	-162.6180013	0	7.67729187	0
HLS5C11CS	2784	Fall	Henley Lake	Scapula	Collection 11	310/Collection11/2784	2784/Collection11/310	310	2784/310	2784	3	13.77662659	88.00323232	0.040928256	-162.6180013	0	7.67729187	0
HLS1C12CS	3103	Fall	Henley Lake	Scapula	Collection 12	333/Collection12/3103	3103/Collection12/333	333	3103/333	3103	3	14.97512817	84.92086665	0.039380297	-234.0291341	0	5.355476379	0
HLS2C12CS	3103	Fall	Henley Lake	Scapula	Collection 12	333/Collection12/3103	3103/Collection12/333	333	3103/333	3103	3	14.97512817	84.92086665	0.039380297	-234.0291341	0	5.355476379	0
HLS4C12CS	3103	Fall	Henley Lake	Scapula	Collection 12	333/Collection12/3103	3103/Collection12/333	333	3103/333	3103	3	14.97512817	84.92086665	0.039380297	-234.0291341	0	5.355476379	0
HLS5C12CS	3103	Fall	Henley Lake	Scapula	Collection 12	333/Collection12/3103	3103/Collection12/333	333	3103/333	3103	3	14.97512817	84.92086665	0.039380297	-234.0291341	0	5.355476379	0
HLS1C13CS	3434	Fall	Henley Lake	Scapula	Collection 13	353/Collection13/3434	3434/Collection13/353	353	3434/353	3434	3	13.02043915	73.38038846	0.033879869	178.3269246	0	5.819714864	0
HLS2C13CS	3434	Fall	Henley Lake	Scapula	Collection 13	353/Collection13/3434	3434/Collection13/353	353	3434/353	3434	3	13.02043915	73.38038846	0.033879869	178.3269246	0	5.819714864	0
HLS3C13CS	3434	Fall	Henley Lake	Scapula	Collection 13	353/Collection13/3434	3434/Collection13/353	353	3434/353	3434	3	13.02043915	73.38038846	0.033879869	178.3269246	0	5.819714864	0
HLS5C13CS	3434	Fall	Henley Lake	Scapula	Collection 13	353/Collection13/3434	3434/Collection13/353	353	3434/353	3434	3	13.02043915	73.38038846	0.033879869	178.3269246	0	5.819714864	0
HLS1C14CS	3666	Fall	Henley Lake	Scapula	Collection 14	373/Collection14/3666	3666/Collection14/373	373	3666/373	3666	3	7.770271301	74.67660189	0.034595461	217.0511882	0.003579131	7.128948212	0.030199687
HLS2C14CS	3666	Fall	Henley Lake	Scapula	Collection 14	373/Collection14/3666	3666/Collection14/373	373	3666/373	3666	3	7.770271301	74.67660189	0.034595461	217.0511882	0.003579131	7.128948212	0.030199687
HLS3C14CS	3666	Fall	Henley Lake	Scapula	Collection 14	373/Collection14/3666	3666/Collection14/373	373	3666/373	3666	3	7.770271301	74.67660189	0.034595461	217.0511882	0.003579131	7.128948212	0.030199687
HLS4C14CS	3666	Fall	Henley Lake	Scapula	Collection 14	373/Collection14/3666	3666/Collection14/373	373	3666/373	3666	3	7.770271301	74.67660189	0.034595461	217.0511882	0.003579131	7.128948212	0.030199687
HLS5C14CS	3666	Fall	Henley Lake	Scapula	Collection 14	373/Collection14/3666	3666/Collection14/373	373	3666/373	3666	3	7.770271301	74.67660189	0.034595461	217.0511882	0.003579131	7.128948212	0.030199687
HLS1C15CS	3962	Winter	Henley Lake	Scapula	Collection 15	422/Collection15/3962	3962/Collection15/422	422	3962/422	3962	4	4.972496033	77.31083107	0.035801188	187.1337891	0.002222217	7.805349986	0.017261505
HLS2C15CS	3962	Winter	Henley Lake	Scapula	Collection 15	422/Collection15/3962	3962/Collection15/422	422	3962/422	3962	4	4.972496033	77.31083107	0.035801188	187.1337891	0.002222217	7.805349986	0.017261505
HLS3C15CS	3962	Winter	Henley Lake	Scapula	Collection 15	422/Collection15/3962	3962/Collection15/422	422	3962/422	3962	4	4.972496033	77.31083107	0.035801188	187.1337891	0.002222217	7.805349986	0.017261505
HLS4C15CS	3962	Winter	Henley Lake	Scapula	Collection 15	422/Collection15/3962	3962/Collection15/422	422	3962/422	3962	4	4.972496033	77.31083107	0.035801188	187.1337891	0.002222217	7.805349986	0.017261505
HLS5C15CS	3962	Winter	Henley Lake	Scapula	Collection 15	422/Collection15/3962	3962/Collection15/422	422	3962/422	3962	4	4.972496033	77.31083107	0.035801188	187.1337891	0.002222217	7.805349986	0.017261505
HLS1C16CS	4229	Winter	Henley Lake	Scapula	Collection 16	477/Collection16/4229	4229/Collection16/477	477	4229/477	4229	4	2.742271423	75.26413306	0.034706172	267.4484253	0.085181589	5.701848348	0.618012746
HLS2C16CS	4229	Winter	Henley Lake	Scapula	Collection 16	477/Collection16/4229	4229/Collection16/477	477	4229/477	4229	4	2.742271423	75.26413306	0.034706172	267.4484253	0.085181589	5.701848348	0.618012746
HLS3C16CS	4229	Winter	Henley Lake	Scapula	Collection 16	477/Collection16/4229	4229/Collection16/477	477	4229/477	4229	4	2.742271423	75.26413306	0.034706172	267.4484253	0.085181589	5.701848348	0.618012746
HLS4C16CS	4229	Winter	Henley Lake	Scapula	Collection 16	477/Collection16/4229	4229/Collection16/477	477	4229/477	4229	4	2.742271423	75.26413306	0.034706172	267.4484253	0.085181589	5.701848348	0.618012746
HLS5C16CS	4229	Winter	Henley Lake	Scapula	Collection 16	477/Collection16/4229	4229/Collection16/477	477	4229/477	4229	4	2.742271423	75.26413306	0.034706172	267.4484253	0.085181589	5.701848348	0.618012746
HLS1C17CS	4527	Spring	Henley Lake	Scapula	Collection 17	520/Collection17/4527	4527/Collection17/520	520	4527/520	4527	1	4.991798401	75.8522145	0.035097786	213.2466634	0.082874354	6.000199636	0.649134318
HLS2C17CS	4527	Spring	Henley Lake	Scapula	Collection 17	520/Collection17/4527	4527/Collection17/520	520	4527/520	4527	1	4.991798401	75.8522145	0.035097786	213.2466634	0.082874354	6.000199636	0.649134318
HLS4C17CS	4527	Spring	Henley Lake	Scapula	Collection 17	520/Collection17/4527	4527/Collection17/520	520	4527/520	4527	1	4.991798401	75.8522145	0.035097786	213.2466634	0.082874354	6.000199636	0.649134318
HLS5C17CS	4527	Spring	Henley Lake	Scapula	Collection 17	520/Collection17/4527	4527/Collection17/520	520	4527/520	4527	1	4.991798401	75.8522145	0.035097786	213.2466634	0.082874354	6.000199636	0.649134318
HLS1C18CS	4863	Spring	Henley Lake	Scapula	Collection 18	556/Collection18/4863	4863/Collection18/556	556	4863/556	4863	1	6.955757141	77.58550231	0.035988683	370.4121908	0.150746669	5.879716237	1.240444183
HLS2C18CS	4863	Spring	Henley Lake	Scapula	Collection 18	556/Collection18/4863	4863/Collection18/556	556	4863/556	4863	1	6.955757141	77.58550231	0.035988683	370.4121908	0.150746669	5.879716237	1.240444183
HLS3C18CS	4863	Spring	Henley Lake	Scapula	Collection 18	556/Collection18/4863	4863/Collection18/556	556	4863/556	4863	1	6.955757141	77.58550231	0.035988683	370.4121908	0.150746669	5.879716237	1.240444183
HLS4C18CS	4863	Spring	Henley Lake	Scapula	Collection 18	556/Collection18/4863	4863/Collection18/556	556	4863/556	4863	1	6.955757141	77.58550231	0.035988683	370.4121908	0.150746669	5.879716237	1.240444183
HLS5C18CS	4863	Spring	Henley Lake	Scapula	Collection 18	556/Collection18/4863	4863/Collection18/556	556	4863/556	4863	1	6.955757141	77.58550231	0.035988683	370.4121908	0.150746669	5.879716237	1.240444183
HLS1C19CS	5200	Spring	Henley Lake	Scapula	Collection 19	579/Collection19/5200	5200/Collection19/579	579	5200/579	5200	1	NA	NA	NA	NA	NA	NA	NA
HLS2C19CS	5200	Spring	Henley Lake	Scapula	Collection 19	579/Collection19/5200	5200/Collection19/579	579	5200/579	5200	1	NA	NA	NA	NA	NA	NA	NA
HLS3C19CS	5200	Spring	Henley Lake	Scapula	Collection 19	579/Collection19/5200	5200/Collection19/579	579	5200/579	5200	1	NA	NA	NA	NA	NA	NA	NA
HLS5C19CS	5200	Spring	Henley Lake	Scapula	Collection 19	579/Collection19/5200	5200/Collection19/579	579	5200/579	5200	1	NA	NA	NA	NA	NA	NA	NA
