"dayOmit","scapnumOmit","scapnumactual","yactual","yhat","resid"
268,"S5","S5",1827,2019.44491666666,-192.444916666665
268,"S5","S5",2141,3093.07223333333,-952.072233333329
268,"S5","S5",2395,2700.03098333333,-305.030983333334
268,"S5","S5",2656,2520.36060555555,135.639394444449
268,"S5","S5",2915,2659.75686111111,255.243138888891
268,"S5","S5",3181,3704.30146111111,-523.301461111112
268,"S5","S5",3388,3541.13425,-153.134249999997
268,"S5","S5",3673,2710.98412777777,962.015872222226
268,"S5","S5",3949,3459.04970555555,489.950294444451
268,"S5","S5",4267,4489.95953888889,-222.959538888892
268,"S5","S5",4972,4288.41681111111,683.583188888888
516,"S1","S1",268,1590.89647777778,-1322.89647777778
516,"S1","S1",516,2121.35338333333,-1605.35338333333
516,"S1","S2",516,2321.14552222222,-1805.14552222222
516,"S1","S3",516,598.541061111112,-82.5410611111116
516,"S1","S4",516,854.196705555556,-338.196705555556
516,"S1","S5",516,1267.50380555556,-751.503805555556
516,"S1","S1",741,1304.74182777778,-563.741827777777
516,"S1","S1",1012,1024.80006666667,-12.8000666666674
516,"S1","S1",1278,1839.50822777778,-561.508227777775
516,"S1","S1",1513,1665.36718888889,-152.367188888888
516,"S1","S1",1827,2760.28583888889,-933.28583888889
516,"S1","S1",2141,2671.56621666666,-530.566216666662
516,"S1","S1",2395,2498.45226666667,-103.452266666667
516,"S1","S1",2656,2869.02329444444,-213.023294444437
516,"S1","S1",2915,3132.12804444445,-217.128044444446
516,"S1","S1",3181,3051.01418333333,129.985816666671
516,"S1","S1",3388,3612.77585555555,-224.775855555555
516,"S1","S1",3949,3761.57442222222,187.425577777778
516,"S1","S1",4267,4113.35323333333,153.646766666668
516,"S1","S1",4731,4270.2949,460.705099999998
516,"S1","S1",4972,3531.91130555556,1440.08869444444
516,"S2","S2",268,824.861916666667,-556.861916666667
516,"S2","S1",516,1864.06215555556,-1348.06215555556
516,"S2","S2",516,2036.81361666667,-1520.81361666667
516,"S2","S3",516,680.432272222223,-164.432272222223
516,"S2","S4",516,943.360072222223,-427.360072222223
516,"S2","S5",516,1430.52426666667,-914.524266666666
516,"S2","S2",741,880.691955555555,-139.691955555555
516,"S2","S2",1278,1493.72091666667,-215.720916666668
516,"S2","S2",1513,1657.36275,-144.36275
516,"S2","S2",1827,1664.97276111111,162.027238888889
516,"S2","S2",2141,2417.92566111111,-276.925661111113
516,"S2","S2",2395,2790.67857777778,-395.67857777778
516,"S2","S2",2656,2655.01805,0.981949999999415
516,"S2","S2",2915,2862.78198333333,52.2180166666699
516,"S2","S2",3181,3784.37236111111,-603.372361111113
516,"S2","S2",3388,2973.93570555556,414.064294444445
516,"S2","S2",3673,2898.01260555555,774.987394444448
516,"S2","S2",3949,3616.46763888889,332.532361111113
516,"S2","S2",4267,3812.39930555555,454.60069444445
516,"S2","S2",4473,4438.02815,34.9718499999972
516,"S2","S2",4731,3058.38156111111,1672.61843888889
516,"S2","S2",4972,4546.19881111111,425.801188888885
516,"S3","S3",268,661.114572222222,-393.114572222222
516,"S3","S1",516,2008.06356666666,-1492.06356666666
